,70005
1996-04-01,131000.0
1996-05-01,133000.0
1996-06-01,135200.0
1996-07-01,137400.0
1996-08-01,139400.0
1996-09-01,141300.0
1996-10-01,143000.0
1996-11-01,144400.0
1996-12-01,145600.0
1997-01-01,146800.0
1997-02-01,147600.0
1997-03-01,147900.0
1997-04-01,147900.0
1997-05-01,147500.0
1997-06-01,146900.0
1997-07-01,145900.0
1997-08-01,144600.0
1997-09-01,143100.0
1997-10-01,141400.0
1997-11-01,139700.0
1997-12-01,137900.0
1998-01-01,136500.0
1998-02-01,135200.0
1998-03-01,134300.0
1998-04-01,133800.0
1998-05-01,133900.0
1998-06-01,134500.0
1998-07-01,135500.0
1998-08-01,136800.0
1998-09-01,138400.0
1998-10-01,140300.0
1998-11-01,142400.0
1998-12-01,144700.0
1999-01-01,147200.0
1999-02-01,149400.0
1999-03-01,151400.0
1999-04-01,153300.0
1999-05-01,154800.0
1999-06-01,156100.0
1999-07-01,157000.0
1999-08-01,157600.0
1999-09-01,158000.0
1999-10-01,158400.0
1999-11-01,158700.0
1999-12-01,159200.0
2000-01-01,159900.0
2000-02-01,160800.0
2000-03-01,161600.0
2000-04-01,162500.0
2000-05-01,163500.0
2000-06-01,164600.0
2000-07-01,165600.0
2000-08-01,166800.0
2000-09-01,168000.0
2000-10-01,169300.0
2000-11-01,170800.0
2000-12-01,172500.0
2001-01-01,174200.0
2001-02-01,175800.0
2001-03-01,177400.0
2001-04-01,179000.0
2001-05-01,180400.0
2001-06-01,181600.0
2001-07-01,182500.0
2001-08-01,183200.0
2001-09-01,183800.0
2001-10-01,184200.0
2001-11-01,184600.0
2001-12-01,185000.0
2002-01-01,185600.0
2002-02-01,186300.0
2002-03-01,187100.0
2002-04-01,188100.0
2002-05-01,189100.0
2002-06-01,190100.0
2002-07-01,190900.0
2002-08-01,191700.0
2002-09-01,192300.0
2002-10-01,192800.0
2002-11-01,193500.0
2002-12-01,194200.0
2003-01-01,194900.0
2003-02-01,195700.0
2003-03-01,196700.0
2003-04-01,197700.0
2003-05-01,198800.0
2003-06-01,199800.0
2003-07-01,200800.0
2003-08-01,201600.0
2003-09-01,202400.0
2003-10-01,203200.0
2003-11-01,203900.0
